时间,类型,城市,城市ID,空气质量,空气质量核减,空气质量变化
1/17/2017,1,50,50,334,,
1/18/2017,1,1,1,55,,
1/18/2017,1,2,2,156,,
1/18/2017,1,3,3,420,,
1/18/2017,1,4,4,78,,
1/18/2017,1,5,5,96,,
1/18/2017,1,6,6,91,,
1/18/2017,1,7,7,76,,
1/18/2017,1,8,8,159,,
1/18/2017,1,9,9,129,,
1/18/2017,1,10,10,192,,
1/18/2017,1,11,11,229,,
1/18/2017,1,12,12,228,,
1/18/2017,1,13,13,49,,
1/18/2017,1,14,14,78,,
1/18/2017,1,15,15,179,,
1/18/2017,1,16,16,63,,
1/18/2017,1,17,17,66,,
1/18/2017,1,18,18,77,,
1/18/2017,1,19,19,114,,
1/18/2017,1,20,20,48,,
1/18/2017,1,21,21,59,,
1/18/2017,1,22,22,47,,
1/18/2017,1,23,23,91,,
1/18/2017,1,24,24,319,,
1/18/2017,1,25,25,133,,
1/18/2017,1,26,26,331,,
1/18/2017,1,27,27,389,,
1/18/2017,1,28,28,124,,
1/18/2017,1,29,29,110,,
1/18/2017,1,30,30,116,,
1/18/2017,1,31,31,55,,
1/18/2017,1,32,32,57,,
1/18/2017,1,33,33,84,,
1/18/2017,1,34,34,38,,
1/18/2017,1,35,35,47,,
1/18/2017,1,36,36,55,,
1/18/2017,1,37,37,28,,
1/18/2017,1,38,38,88,,
1/18/2017,1,39,39,127,,
1/18/2017,1,40,40,113,,
1/18/2017,1,41,41,34,,
1/18/2017,1,42,42,50,,
1/18/2017,1,43,43,27,,
1/18/2017,1,44,44,35,,
1/18/2017,1,45,45,67,,
1/18/2017,1,46,46,342,,
1/18/2017,1,47,47,89,,
1/18/2017,1,48,48,99,,
1/18/2017,1,49,49,102,,
1/18/2017,1,50,50,414,,
1/19/2017,1,1,1,85,,
1/19/2017,1,2,2,97,,
1/19/2017,1,3,3,212,,
1/19/2017,1,4,4,66,,
1/19/2017,1,5,5,94,,
1/19/2017,1,6,6,71,,
1/19/2017,1,7,7,42,,
1/19/2017,1,8,8,162,,
1/19/2017,1,9,9,65,,
1/19/2017,1,10,10,112,,
1/19/2017,1,11,11,165,,
1/19/2017,1,12,12,194,,
1/19/2017,1,13,13,103,,
1/19/2017,1,14,14,99,,
1/19/2017,1,15,15,191,,
1/19/2017,1,16,16,122,,
1/19/2017,1,17,17,95,,
1/19/2017,1,18,18,79,,
1/19/2017,1,19,19,107,,
1/19/2017,1,20,20,40,,
1/19/2017,1,21,21,56,,
1/19/2017,1,22,22,54,,
1/19/2017,1,23,23,102,,
1/19/2017,1,24,24,231,,
1/19/2017,1,25,25,147,,
1/19/2017,1,26,26,218,,
1/19/2017,1,27,27,196,,
1/19/2017,1,28,28,148,,
1/19/2017,1,29,29,109,,
1/19/2017,1,30,30,141,,
1/19/2017,1,31,31,50,,
1/19/2017,1,32,32,60,,
1/19/2017,1,33,33,77,,
1/19/2017,1,34,34,33,,
1/19/2017,1,35,35,49,,
1/19/2017,1,36,36,55,,
1/19/2017,1,37,37,34,,
1/19/2017,1,38,38,93,,
1/19/2017,1,39,39,124,,
1/19/2017,1,40,40,113,,
1/19/2017,1,41,41,44,,
1/19/2017,1,42,42,57,,
1/19/2017,1,43,43,27,,
1/19/2017,1,44,44,41,,
1/19/2017,1,45,45,57,,
1/19/2017,1,46,46,198,,
1/19/2017,1,47,47,244,,
1/19/2017,1,48,48,97,,
1/19/2017,1,49,49,87,,
1/19/2017,1,50,50,195,,
1/20/2017,1,1,1,37,,
1/20/2017,1,2,2,34,,
1/20/2017,1,3,3,84,,
1/20/2017,1,4,4,42,,
1/20/2017,1,5,5,75,,
1/20/2017,1,6,6,60,,
1/20/2017,1,7,7,73,,
1/20/2017,1,8,8,54,,
1/20/2017,1,9,9,40,,
1/20/2017,1,10,10,88,,
1/20/2017,1,11,11,130,,
1/20/2017,1,12,12,176,,
1/20/2017,1,13,13,98,,
1/20/2017,1,14,14,71,,
1/20/2017,1,15,15,73,,
1/20/2017,1,16,16,85,,
1/20/2017,1,17,17,72,,
1/20/2017,1,18,18,74,,
1/20/2017,1,19,19,84,,
1/20/2017,1,20,20,34,,
1/20/2017,1,21,21,40,,
1/20/2017,1,22,22,33,,
1/20/2017,1,23,23,114,,
1/20/2017,1,24,24,58,,
1/20/2017,1,25,25,49,,
1/20/2017,1,26,26,73,,
1/20/2017,1,27,27,63,,
1/20/2017,1,28,28,91,,
1/20/2017,1,29,29,97,,
1/20/2017,1,30,30,92,,
1/20/2017,1,31,31,31,,
1/20/2017,1,32,32,35,,
1/20/2017,1,33,33,32,,
1/20/2017,1,34,34,42,,
1/20/2017,1,35,35,98,,
1/20/2017,1,36,36,38,,
1/20/2017,1,37,37,31,,
1/20/2017,1,38,38,102,,
1/20/2017,1,39,39,146,,
1/20/2017,1,40,40,122,,
1/20/2017,1,41,41,71,,
1/20/2017,1,42,42,56,,
1/20/2017,1,43,43,37,,
1/20/2017,1,44,44,51,,
1/20/2017,1,45,45,42,,
1/20/2017,1,46,46,67,,
1/20/2017,1,47,47,138,,
1/20/2017,1,48,48,134,,
1/20/2017,1,49,49,87,,
1/20/2017,1,50,50,267,,
1/21/2017,1,1,1,52,,
1/21/2017,1,2,2,67,,
1/21/2017,1,3,3,119,,
1/21/2017,1,4,4,58,,
1/21/2017,1,5,5,90,,
1/21/2017,1,6,6,42,,
1/21/2017,1,7,7,43,,
1/21/2017,1,8,8,92,,
1/21/2017,1,9,9,49,,
1/21/2017,1,10,10,87,,
1/21/2017,1,11,11,108,,
1/21/2017,1,12,12,121,,
1/21/2017,1,13,13,49,,
1/21/2017,1,14,14,61,,
1/21/2017,1,15,15,93,,
1/21/2017,1,16,16,58,,
1/21/2017,1,17,17,60,,
1/21/2017,1,18,18,60,,
1/21/2017,1,19,19,73,,
1/21/2017,1,20,20,52,,
1/21/2017,1,21,21,54,,
1/21/2017,1,22,22,49,,
1/21/2017,1,23,23,78,,
1/21/2017,1,24,24,79,,
1/21/2017,1,25,25,61,,
1/21/2017,1,26,26,101,,
1/21/2017,1,27,27,86,,
1/21/2017,1,28,28,88,,
1/21/2017,1,29,29,79,,
1/21/2017,1,30,30,93,,
1/21/2017,1,31,31,75,,
1/21/2017,1,32,32,62,,
1/21/2017,1,33,33,79,,
1/21/2017,1,34,34,83,,
1/21/2017,1,35,35,93,,
1/21/2017,1,36,36,52,,
1/21/2017,1,37,37,28,,
1/21/2017,1,38,38,158,,
1/21/2017,1,39,39,152,,
1/21/2017,1,40,40,129,,
1/21/2017,1,41,41,81,,
1/21/2017,1,42,42,51,,
1/21/2017,1,43,43,36,,
1/21/2017,1,44,44,55,,
1/21/2017,1,45,45,54,,
